epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1928.44,1.54523,1.88883,1.81966,0.40592,0.26506,0.26124,0.11272,2.10366,2.45806,2.33949,0.000532867,0.000532867,0.000532867
43,1975.35,1.52935,1.85497,1.79947,0.31787,0.28912,0.26347,0.12231,2.07045,2.40908,2.29121,0.000528449,0.000528449,0.000528449
44,2022.69,1.53489,1.8598,1.80101,0.3309,0.26516,0.25522,0.11623,2.12233,2.40326,2.33285,0.000524031,0.000524031,0.000524031
45,2068.02,1.53201,1.83697,1.78973,0.28871,0.2955,0.24795,0.10234,2.22516,2.54744,2.47332,0.000519613,0.000519613,0.000519613
46,2114.36,1.52819,1.82471,1.79309,0.31313,0.26611,0.23332,0.09836,2.1429,2.55325,2.37968,0.000515196,0.000515196,0.000515196
47,2159.61,1.53403,1.85098,1.80261,0.39766,0.29445,0.26658,0.114,2.18371,2.42072,2.419,0.000510778,0.000510778,0.000510778
48,2206.22,1.52409,1.80548,1.79078,0.30221,0.28814,0.2545,0.11892,2.08444,2.35231,2.27493,0.00050636,0.00050636,0.00050636
49,2253.2,1.51081,1.81137,1.78584,0.4032,0.31014,0.2815,0.12393,2.12568,2.41804,2.34619,0.000501942,0.000501942,0.000501942
50,2299.81,1.51919,1.76622,1.7813,0.34204,0.30857,0.25932,0.11683,2.07729,2.39062,2.29082,0.000497524,0.000497524,0.000497524
51,2345.39,1.51491,1.78495,1.78399,0.34211,0.30605,0.27905,0.1262,2.1029,2.38052,2.31161,0.000493106,0.000493106,0.000493106
52,2391.78,1.5042,1.79855,1.77706,0.32243,0.32516,0.27695,0.1329,2.05158,2.35932,2.25084,0.000488688,0.000488688,0.000488688
53,2438.13,1.49588,1.75164,1.76693,0.33267,0.34791,0.27527,0.12264,2.09333,2.38836,2.3155,0.000484271,0.000484271,0.000484271
54,2484.27,1.49753,1.72991,1.76453,0.43574,0.28951,0.2751,0.13004,2.06769,2.41584,2.27766,0.000479853,0.000479853,0.000479853
55,2530.91,1.50199,1.74201,1.75791,0.37148,0.3379,0.27788,0.13202,2.03112,2.36958,2.23924,0.000475435,0.000475435,0.000475435
56,2576.49,1.4798,1.72665,1.75466,0.48085,0.28011,0.28754,0.1355,2.09036,2.35521,2.27628,0.000471017,0.000471017,0.000471017
