epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1262.6,1.77892,1.32595,1.25192,0.67151,0.71433,0.71433,0.29748,1.93269,1.35499,1.3967,0.000990365,0.000990365,0.000990365
43,1291.82,1.80016,1.32801,1.24788,0.67045,0.68712,0.70246,0.29372,1.95578,1.33992,1.42284,0.000973861,0.000973861,0.000973861
44,1321.4,1.76273,1.31204,1.24419,0.71038,0.6994,0.71398,0.30016,1.95155,1.3235,1.42118,0.000957358,0.000957358,0.000957358
45,1352,1.78375,1.33216,1.24043,0.72183,0.65693,0.72473,0.3063,1.91821,1.36604,1.41775,0.000940855,0.000940855,0.000940855
46,1381.44,1.78268,1.32497,1.24551,0.68766,0.68205,0.69262,0.28572,1.98298,1.37564,1.43596,0.000924352,0.000924352,0.000924352
47,1410.56,1.7537,1.26829,1.22526,0.73726,0.72212,0.74865,0.32679,1.91212,1.27333,1.38298,0.000907848,0.000907848,0.000907848
48,1440.56,1.77902,1.29024,1.23404,0.70435,0.69046,0.71125,0.29795,1.93833,1.33408,1.40754,0.000891345,0.000891345,0.000891345
49,1470.28,1.76216,1.28447,1.2248,0.70702,0.72914,0.74384,0.31701,1.9364,1.27798,1.41925,0.000874842,0.000874842,0.000874842
50,1499.58,1.77319,1.30267,1.23706,0.69454,0.69983,0.73308,0.30957,1.93386,1.30583,1.42021,0.000858338,0.000858338,0.000858338
51,1530.37,1.75511,1.27969,1.23077,0.7167,0.71576,0.73719,0.3193,1.9141,1.27448,1.41252,0.000841835,0.000841835,0.000841835
52,1559.76,1.76153,1.27883,1.23258,0.72082,0.71931,0.73308,0.31068,1.91376,1.28191,1.41108,0.000825332,0.000825332,0.000825332
53,1589.98,1.7306,1.26436,1.22146,0.71828,0.72787,0.74628,0.32338,1.94427,1.26221,1.40379,0.000808828,0.000808828,0.000808828
54,1621.5,1.73988,1.25558,1.22291,0.70139,0.69447,0.72659,0.31471,1.89659,1.28521,1.39435,0.000792325,0.000792325,0.000792325
55,1651.44,1.74267,1.24893,1.21629,0.7125,0.70399,0.7439,0.32724,1.90295,1.27877,1.39792,0.000775822,0.000775822,0.000775822
56,1680.88,1.72932,1.24544,1.20814,0.73555,0.69183,0.73195,0.32847,1.90941,1.25037,1.38738,0.000759318,0.000759318,0.000759318
57,1711.38,1.74613,1.25526,1.21568,0.71484,0.70943,0.74729,0.33889,1.88771,1.25153,1.38497,0.000742815,0.000742815,0.000742815
58,1741.1,1.72244,1.24383,1.22025,0.73407,0.71547,0.75599,0.33841,1.89399,1.24216,1.38914,0.000726312,0.000726312,0.000726312
59,1770.69,1.71687,1.2135,1.20787,0.72974,0.73121,0.75511,0.33921,1.87401,1.24761,1.38124,0.000709809,0.000709809,0.000709809
60,1800.32,1.71231,1.2287,1.2103,0.73847,0.71913,0.74254,0.32011,1.92589,1.25686,1.39352,0.000693305,0.000693305,0.000693305
61,1830.28,1.72229,1.22633,1.21319,0.69617,0.72256,0.73727,0.31872,1.89969,1.25897,1.38016,0.000676802,0.000676802,0.000676802
62,1859.71,1.73245,1.22223,1.21877,0.74005,0.70749,0.74764,0.32917,1.89378,1.24578,1.38117,0.000660299,0.000660299,0.000660299
63,1889.15,1.71562,1.21949,1.21461,0.7328,0.72861,0.75599,0.33322,1.89911,1.23121,1.38393,0.000643795,0.000643795,0.000643795
64,1919.39,1.69634,1.22092,1.20789,0.7134,0.71439,0.736,0.31973,1.89887,1.24743,1.39858,0.000627292,0.000627292,0.000627292
65,1948.62,1.71783,1.20866,1.2085,0.7042,0.74222,0.75211,0.32354,1.91187,1.2422,1.38314,0.000610789,0.000610789,0.000610789
66,1978.58,1.71106,1.21309,1.20998,0.71242,0.74966,0.76639,0.33915,1.8815,1.22072,1.37204,0.000594286,0.000594286,0.000594286
67,2008.87,1.69735,1.19217,1.20244,0.74118,0.74288,0.76393,0.34563,1.87093,1.20858,1.37142,0.000577782,0.000577782,0.000577782
68,2038.28,1.68704,1.17175,1.19173,0.73675,0.72208,0.76258,0.33826,1.88966,1.20124,1.37337,0.000561279,0.000561279,0.000561279
69,2068.08,1.697,1.18533,1.20044,0.72914,0.75328,0.77343,0.34996,1.88365,1.17724,1.37552,0.000544776,0.000544776,0.000544776
70,2098.06,1.68705,1.17381,1.18935,0.73285,0.73952,0.75885,0.34516,1.89994,1.21128,1.38538,0.000528272,0.000528272,0.000528272
71,2127.78,1.67,1.17414,1.19255,0.75116,0.72402,0.76939,0.33733,1.91666,1.21379,1.40165,0.000511769,0.000511769,0.000511769
72,2157.09,1.66253,1.15476,1.18671,0.71546,0.74984,0.75165,0.34141,1.8842,1.23243,1.38059,0.000495266,0.000495266,0.000495266
73,2186.89,1.67946,1.15872,1.1885,0.73904,0.75387,0.77691,0.34822,1.88162,1.18095,1.37835,0.000478762,0.000478762,0.000478762
74,2217.19,1.67627,1.15045,1.19228,0.73026,0.73465,0.74791,0.33773,1.89107,1.21135,1.37912,0.000462259,0.000462259,0.000462259
75,2246.7,1.66298,1.16127,1.18529,0.73556,0.73653,0.76409,0.35239,1.86498,1.15815,1.35759,0.000445756,0.000445756,0.000445756
76,2276.87,1.66281,1.1526,1.187,0.74193,0.7637,0.77707,0.35936,1.85862,1.16025,1.3574,0.000429253,0.000429253,0.000429253
77,2308.23,1.65673,1.14895,1.18131,0.72113,0.76696,0.77692,0.35179,1.87652,1.16987,1.36109,0.000412749,0.000412749,0.000412749
78,2338.24,1.66112,1.15789,1.179,0.73876,0.74053,0.76788,0.35865,1.89313,1.18401,1.38063,0.000396246,0.000396246,0.000396246
79,2368.89,1.6612,1.12625,1.17717,0.73948,0.74514,0.77704,0.35375,1.88794,1.16433,1.37812,0.000379743,0.000379743,0.000379743
80,2398.96,1.64663,1.12392,1.17075,0.74365,0.75622,0.76821,0.34841,1.86242,1.17183,1.35816,0.000363239,0.000363239,0.000363239
81,2428.72,1.62872,1.1118,1.18032,0.74077,0.75897,0.78474,0.36473,1.86035,1.14656,1.36313,0.000346736,0.000346736,0.000346736
82,2458.84,1.66677,1.11685,1.17609,0.74704,0.75654,0.7853,0.35936,1.87244,1.13276,1.36077,0.000330233,0.000330233,0.000330233
83,2489.05,1.62836,1.11424,1.1728,0.73782,0.74498,0.78217,0.35652,1.86587,1.15052,1.36718,0.000313729,0.000313729,0.000313729
84,2518.27,1.62492,1.09496,1.15958,0.73578,0.74761,0.77486,0.36123,1.8722,1.13868,1.36696,0.000297226,0.000297226,0.000297226
85,2548.12,1.6268,1.09408,1.16861,0.76343,0.75159,0.78327,0.35938,1.87527,1.13643,1.3696,0.000280723,0.000280723,0.000280723
86,2578.73,1.63251,1.09514,1.16644,0.72785,0.76028,0.77171,0.35037,1.87132,1.14739,1.35882,0.00026422,0.00026422,0.00026422
87,2608.45,1.61413,1.09495,1.16682,0.76949,0.75319,0.79414,0.36134,1.86674,1.11707,1.35883,0.000247716,0.000247716,0.000247716
88,2637.93,1.61026,1.07628,1.16397,0.76507,0.77027,0.79271,0.36418,1.86124,1.11069,1.35057,0.000231213,0.000231213,0.000231213
89,2668.42,1.61175,1.0879,1.16767,0.76662,0.74281,0.78998,0.36239,1.85979,1.11884,1.35697,0.00021471,0.00021471,0.00021471
90,2697.95,1.61621,1.07682,1.15842,0.76834,0.75658,0.79182,0.3682,1.86129,1.10987,1.35647,0.000198206,0.000198206,0.000198206
91,2728.34,1.5885,1.07077,1.19149,0.75598,0.75395,0.78665,0.36413,1.85108,1.11716,1.35114,0.000181703,0.000181703,0.000181703
92,2757.63,1.56944,1.04264,1.18325,0.75868,0.75395,0.78371,0.36209,1.86462,1.11428,1.35695,0.0001652,0.0001652,0.0001652
93,2786.56,1.56294,1.03552,1.17555,0.76768,0.75333,0.79079,0.36804,1.85236,1.11287,1.35344,0.000148696,0.000148696,0.000148696
94,2815.07,1.5513,1.02973,1.17267,0.7519,0.76943,0.79699,0.36989,1.86596,1.10125,1.35751,0.000132193,0.000132193,0.000132193
95,2843.46,1.54648,1.01659,1.17439,0.77587,0.75559,0.79419,0.36458,1.86037,1.10616,1.3556,0.00011569,0.00011569,0.00011569
96,2871.86,1.54403,1.00645,1.17143,0.76769,0.77372,0.79561,0.36575,1.86677,1.09962,1.35615,9.91865e-05,9.91865e-05,9.91865e-05
97,2901.19,1.54812,1.01486,1.1716,0.77064,0.76525,0.79903,0.36994,1.86941,1.09236,1.36259,8.26832e-05,8.26832e-05,8.26832e-05
98,2929.75,1.54565,1.01349,1.17893,0.75408,0.77732,0.79781,0.3695,1.85814,1.08931,1.36169,6.61799e-05,6.61799e-05,6.61799e-05
99,2958.75,1.53423,1.01127,1.17382,0.75734,0.76725,0.79356,0.37192,1.85756,1.08915,1.36124,4.96766e-05,4.96766e-05,4.96766e-05
100,2987.73,1.53092,0.9937,1.16623,0.76879,0.76523,0.79716,0.37241,1.85834,1.08737,1.35831,3.31733e-05,3.31733e-05,3.31733e-05
