epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1967.77,1.69748,2.44326,2.0082,0.18727,0.26422,0.20172,0.08055,2.12471,2.63408,2.41535,0.000327583,0.000327583,0.000327583
43,2014.59,1.68475,2.41493,1.99776,0.21728,0.23359,0.19207,0.07678,2.16497,2.71096,2.45136,0.000318158,0.000318158,0.000318158
44,2059.74,1.67707,2.39473,1.98133,0.4366,0.21735,0.19233,0.08528,2.13163,2.58987,2.4118,0.000308734,0.000308734,0.000308734
45,2106.02,1.68121,2.37678,1.97392,0.31369,0.2412,0.20545,0.0824,2.1909,2.61118,2.44496,0.000299309,0.000299309,0.000299309
46,2153.38,1.68633,2.3798,1.98589,0.53903,0.19297,0.17319,0.06727,2.1801,2.66932,2.44556,0.000289884,0.000289884,0.000289884
47,2198.27,1.67695,2.37753,1.98203,0.24633,0.25697,0.21913,0.08497,2.168,2.56683,2.43507,0.000280459,0.000280459,0.000280459
48,2243.89,1.67102,2.32846,1.97314,0.37473,0.23262,0.23334,0.09314,2.13859,2.534,2.3806,0.000271034,0.000271034,0.000271034
49,2289.09,1.66446,2.33034,1.97403,0.62164,0.18186,0.21482,0.08869,2.14126,2.57056,2.39539,0.00026161,0.00026161,0.00026161
50,2335.15,1.66554,2.29837,1.96667,0.32139,0.23259,0.19934,0.07972,2.17613,2.58451,2.44241,0.000252185,0.000252185,0.000252185
51,2380.36,1.65878,2.30316,1.96133,0.18185,0.25137,0.18508,0.07542,2.18348,2.61806,2.43803,0.00024276,0.00024276,0.00024276
52,2427.92,1.63002,2.29817,1.95087,0.28083,0.26663,0.22246,0.08955,2.12737,2.55402,2.39673,0.000233335,0.000233335,0.000233335
53,2472.47,1.63534,2.26229,1.94043,0.40938,0.19553,0.21174,0.0863,2.1505,2.54522,2.4063,0.00022391,0.00022391,0.00022391
54,2517.9,1.6445,2.23824,1.94707,0.50685,0.21266,0.22609,0.09429,2.10564,2.57711,2.36737,0.000214486,0.000214486,0.000214486
55,2562.86,1.64365,2.24975,1.9425,0.22051,0.26881,0.22443,0.0988,2.07337,2.55794,2.34133,0.000205061,0.000205061,0.000205061
56,2608.75,1.61903,2.21193,1.93231,0.41954,0.19878,0.21597,0.0953,2.09457,2.56118,2.35517,0.000195636,0.000195636,0.000195636
57,2654.96,1.62707,2.20008,1.94138,0.6758,0.1941,0.23177,0.0995,2.14173,2.55649,2.4104,0.000186211,0.000186211,0.000186211
58,2702.12,1.61496,2.18332,1.90669,0.31686,0.21214,0.22189,0.09327,2.12942,2.53631,2.38884,0.000176786,0.000176786,0.000176786
59,2748.59,1.62911,2.17007,1.92326,0.28977,0.26734,0.22898,0.10031,2.11595,2.49192,2.37385,0.000167362,0.000167362,0.000167362
60,2794.5,1.61791,2.16293,1.92736,0.26532,0.24798,0.22561,0.09549,2.12832,2.55932,2.40251,0.000157937,0.000157937,0.000157937
61,2839.95,1.62713,2.18248,1.9259,0.30685,0.30409,0.25454,0.1087,2.10855,2.49125,2.35271,0.000148512,0.000148512,0.000148512
62,2886.21,1.62186,2.15864,1.91473,0.23236,0.2831,0.23449,0.09355,2.14153,2.52975,2.41636,0.000139087,0.000139087,0.000139087
63,2933.71,1.60462,2.14769,1.90042,0.24834,0.30967,0.2369,0.10351,2.09305,2.48595,2.35103,0.000129662,0.000129662,0.000129662
64,2979.23,1.60314,2.13947,1.91116,0.28271,0.27184,0.24957,0.10394,2.13051,2.45946,2.38594,0.000120238,0.000120238,0.000120238
65,3025.82,1.58463,2.11075,1.90146,0.26836,0.27618,0.23851,0.09781,2.15153,2.47043,2.42387,0.000110813,0.000110813,0.000110813
66,3071.62,1.60874,2.08642,2.00057,0.24546,0.30372,0.2573,0.1123,2.11266,2.42849,2.35822,0.000101388,0.000101388,0.000101388
67,3116.65,1.58485,1.99966,1.97882,0.2798,0.29423,0.26432,0.11364,2.06993,2.40999,2.32437,9.19632e-05,9.19632e-05,9.19632e-05
68,3160.51,1.57422,1.93636,1.97279,0.27418,0.30412,0.26929,0.11613,2.08509,2.38406,2.33955,8.25384e-05,8.25384e-05,8.25384e-05
69,3205.65,1.5775,1.92233,1.96722,0.30725,0.27299,0.25663,0.1117,2.06385,2.40507,2.31641,7.31136e-05,7.31136e-05,7.31136e-05
70,3250.46,1.56942,1.93526,1.96783,0.33153,0.28747,0.26985,0.11915,2.07303,2.37088,2.32916,6.36888e-05,6.36888e-05,6.36888e-05
71,3294.73,1.54914,1.89803,1.9338,0.30366,0.29138,0.26466,0.11563,2.06621,2.40075,2.3221,5.4264e-05,5.4264e-05,5.4264e-05
72,3339.77,1.55214,1.88367,1.94324,0.30425,0.31568,0.27085,0.12094,2.08745,2.35346,2.34095,4.48392e-05,4.48392e-05,4.48392e-05
73,3383.08,1.54392,1.8714,1.93447,0.32002,0.29521,0.27451,0.1243,2.07546,2.36176,2.33576,3.54144e-05,3.54144e-05,3.54144e-05
74,3427.82,1.53636,1.85515,1.92778,0.31909,0.28371,0.2789,0.12333,2.08001,2.35451,2.33612,2.59896e-05,2.59896e-05,2.59896e-05
75,3472.85,1.53667,1.85326,1.92266,0.32757,0.297,0.27502,0.1224,2.07663,2.35521,2.3325,1.65648e-05,1.65648e-05,1.65648e-05
